ï..sample,pop,super,X_pop.......gender,
711,HG01953,PEL,AMR,male
712,HG01954,PEL,AMR,female
715,HG01961,PEL,AMR,male
716,HG01965,PEL,AMR,female
717,HG01967,PEL,AMR,male
718,HG01968,PEL,AMR,female
719,HG01970,PEL,AMR,male
720,HG01971,PEL,AMR,female
721,HG01973,PEL,AMR,female
722,HG01974,PEL,AMR,male
723,HG01976,PEL,AMR,female
724,HG01977,PEL,AMR,male
725,HG01979,PEL,AMR,male
726,HG01980,PEL,AMR,female
727,HG01982,PEL,AMR,male
733,HG01991,PEL,AMR,male
734,HG01992,PEL,AMR,female
735,HG01997,PEL,AMR,female
736,HG02002,PEL,AMR,male
737,HG02003,PEL,AMR,female
738,HG02006,PEL,AMR,female
739,HG02008,PEL,AMR,male
787,HG02089,PEL,AMR,female
788,HG02090,PEL,AMR,male
790,HG02102,PEL,AMR,female
791,HG02104,PEL,AMR,male
792,HG02105,PEL,AMR,female
815,HG02146,PEL,AMR,male
816,HG02147,PEL,AMR,female
817,HG02150,PEL,AMR,male
853,HG02252,PEL,AMR,female
854,HG02253,PEL,AMR,male
857,HG02259,PEL,AMR,male
858,HG02260,PEL,AMR,female
859,HG02262,PEL,AMR,male
860,HG02265,PEL,AMR,male
861,HG02266,PEL,AMR,female
862,HG02271,PEL,AMR,male
863,HG02272,PEL,AMR,female
864,HG02274,PEL,AMR,male
865,HG02275,PEL,AMR,female
866,HG02277,PEL,AMR,male
867,HG02278,PEL,AMR,female
872,HG02285,PEL,AMR,male
873,HG02286,PEL,AMR,female
874,HG02291,PEL,AMR,male
875,HG02292,PEL,AMR,female
876,HG02298,PEL,AMR,female
877,HG02299,PEL,AMR,male
878,HG02301,PEL,AMR,female
879,HG02304,PEL,AMR,male
883,HG02312,PEL,AMR,female
897,HG02345,PEL,AMR,female
898,HG02348,PEL,AMR,female
936,HG02425,PEL,AMR,female
2171,NA19648,MXL,AMR,female
2172,NA19649,MXL,AMR,male
2173,NA19651,MXL,AMR,female
2174,NA19652,MXL,AMR,male
2175,NA19654,MXL,AMR,female
2176,NA19655,MXL,AMR,male
2177,NA19657,MXL,AMR,female
2178,NA19658,MXL,AMR,male
2179,NA19661,MXL,AMR,male
2180,NA19663,MXL,AMR,female
2181,NA19664,MXL,AMR,male
2182,NA19669,MXL,AMR,female
2183,NA19670,MXL,AMR,male
2184,NA19676,MXL,AMR,male
2185,NA19678,MXL,AMR,female
2186,NA19679,MXL,AMR,male
2187,NA19681,MXL,AMR,female
2188,NA19682,MXL,AMR,male
2189,NA19684,MXL,AMR,female
2198,NA19716,MXL,AMR,female
2199,NA19717,MXL,AMR,male
2200,NA19719,MXL,AMR,female
2201,NA19720,MXL,AMR,male
2202,NA19722,MXL,AMR,female
2203,NA19723,MXL,AMR,male
2204,NA19725,MXL,AMR,female
2205,NA19726,MXL,AMR,male
2206,NA19728,MXL,AMR,female
2207,NA19729,MXL,AMR,male
2208,NA19731,MXL,AMR,female
2209,NA19732,MXL,AMR,male
2210,NA19734,MXL,AMR,female
2211,NA19735,MXL,AMR,male
2212,NA19740,MXL,AMR,female
2213,NA19741,MXL,AMR,male
2214,NA19746,MXL,AMR,female
2215,NA19747,MXL,AMR,male
2216,NA19749,MXL,AMR,female
2217,NA19750,MXL,AMR,male
2218,NA19752,MXL,AMR,female
2219,NA19755,MXL,AMR,female
2220,NA19756,MXL,AMR,male
2221,NA19758,MXL,AMR,female
2222,NA19759,MXL,AMR,male
2223,NA19761,MXL,AMR,female
2224,NA19762,MXL,AMR,male
2225,NA19764,MXL,AMR,female
2226,NA19770,MXL,AMR,female
2227,NA19771,MXL,AMR,male
2228,NA19773,MXL,AMR,female
2229,NA19774,MXL,AMR,male
2230,NA19776,MXL,AMR,female
2231,NA19777,MXL,AMR,male
2232,NA19779,MXL,AMR,female
2233,NA19780,MXL,AMR,male
2234,NA19782,MXL,AMR,female
2235,NA19783,MXL,AMR,male
2236,NA19785,MXL,AMR,female
2237,NA19786,MXL,AMR,male
2238,NA19788,MXL,AMR,female
2239,NA19789,MXL,AMR,male
2240,NA19792,MXL,AMR,male
2241,NA19794,MXL,AMR,female
2242,NA19795,MXL,AMR,male
1,HG00096,GBR,EUR,male
2,HG00097,GBR,EUR,female
3,HG00099,GBR,EUR,female
4,HG00100,GBR,EUR,female
5,HG00101,GBR,EUR,male
6,HG00102,GBR,EUR,female
7,HG00103,GBR,EUR,male
8,HG00105,GBR,EUR,male
9,HG00106,GBR,EUR,female
10,HG00107,GBR,EUR,male
11,HG00108,GBR,EUR,male
12,HG00109,GBR,EUR,male
13,HG00110,GBR,EUR,female
14,HG00111,GBR,EUR,female
15,HG00112,GBR,EUR,male
16,HG00113,GBR,EUR,male
17,HG00114,GBR,EUR,male
18,HG00115,GBR,EUR,male
19,HG00116,GBR,EUR,male
20,HG00117,GBR,EUR,male
21,HG00118,GBR,EUR,female
22,HG00119,GBR,EUR,male
23,HG00120,GBR,EUR,female
24,HG00121,GBR,EUR,female
25,HG00122,GBR,EUR,female
26,HG00123,GBR,EUR,female
27,HG00125,GBR,EUR,female
28,HG00126,GBR,EUR,male
29,HG00127,GBR,EUR,female
30,HG00128,GBR,EUR,female
31,HG00129,GBR,EUR,male
32,HG00130,GBR,EUR,female
33,HG00131,GBR,EUR,male
34,HG00132,GBR,EUR,female
35,HG00133,GBR,EUR,female
36,HG00136,GBR,EUR,male
37,HG00137,GBR,EUR,female
38,HG00138,GBR,EUR,male
39,HG00139,GBR,EUR,male
40,HG00140,GBR,EUR,male
41,HG00141,GBR,EUR,male
42,HG00142,GBR,EUR,male
43,HG00143,GBR,EUR,male
44,HG00145,GBR,EUR,male
45,HG00146,GBR,EUR,female
46,HG00148,GBR,EUR,male
47,HG00149,GBR,EUR,male
48,HG00150,GBR,EUR,female
49,HG00151,GBR,EUR,male
50,HG00154,GBR,EUR,female
51,HG00155,GBR,EUR,male
52,HG00157,GBR,EUR,male
53,HG00158,GBR,EUR,female
54,HG00159,GBR,EUR,male
55,HG00160,GBR,EUR,male
56,HG00171,FIN,EUR,female
57,HG00173,FIN,EUR,female
58,HG00174,FIN,EUR,female
59,HG00176,FIN,EUR,female
60,HG00177,FIN,EUR,female
61,HG00178,FIN,EUR,female
62,HG00179,FIN,EUR,female
63,HG00180,FIN,EUR,female
64,HG00181,FIN,EUR,male
65,HG00182,FIN,EUR,male
66,HG00183,FIN,EUR,male
67,HG00185,FIN,EUR,male
68,HG00186,FIN,EUR,male
69,HG00187,FIN,EUR,male
70,HG00188,FIN,EUR,male
71,HG00189,FIN,EUR,male
72,HG00190,FIN,EUR,male
73,HG00231,GBR,EUR,female
74,HG00232,GBR,EUR,female
75,HG00233,GBR,EUR,female
76,HG00234,GBR,EUR,male
77,HG00235,GBR,EUR,female
78,HG00236,GBR,EUR,female
79,HG00237,GBR,EUR,female
80,HG00238,GBR,EUR,female
81,HG00239,GBR,EUR,female
82,HG00240,GBR,EUR,female
83,HG00242,GBR,EUR,male
84,HG00243,GBR,EUR,male
85,HG00244,GBR,EUR,male
86,HG00245,GBR,EUR,female
87,HG00246,GBR,EUR,male
88,HG00250,GBR,EUR,female
89,HG00251,GBR,EUR,male
90,HG00252,GBR,EUR,male
91,HG00253,GBR,EUR,female
92,HG00254,GBR,EUR,female
93,HG00255,GBR,EUR,female
94,HG00256,GBR,EUR,male
95,HG00257,GBR,EUR,female
96,HG00258,GBR,EUR,female
97,HG00259,GBR,EUR,female
98,HG00260,GBR,EUR,male
99,HG00261,GBR,EUR,female
100,HG00262,GBR,EUR,female
101,HG00263,GBR,EUR,female
102,HG00264,GBR,EUR,male
103,HG00265,GBR,EUR,male
104,HG00266,FIN,EUR,female
105,HG00267,FIN,EUR,male
106,HG00268,FIN,EUR,female
107,HG00269,FIN,EUR,female
108,HG00271,FIN,EUR,male
109,HG00272,FIN,EUR,female
110,HG00273,FIN,EUR,male
111,HG00274,FIN,EUR,female
112,HG00275,FIN,EUR,female
113,HG00276,FIN,EUR,female
114,HG00277,FIN,EUR,male
115,HG00278,FIN,EUR,male
116,HG00280,FIN,EUR,male
117,HG00281,FIN,EUR,female
118,HG00282,FIN,EUR,female
119,HG00284,FIN,EUR,male
120,HG00285,FIN,EUR,female
121,HG00288,FIN,EUR,female
122,HG00290,FIN,EUR,male
123,HG00304,FIN,EUR,female
124,HG00306,FIN,EUR,female
125,HG00308,FIN,EUR,male
126,HG00309,FIN,EUR,female
127,HG00310,FIN,EUR,male
128,HG00311,FIN,EUR,male
129,HG00313,FIN,EUR,female
130,HG00315,FIN,EUR,female
131,HG00318,FIN,EUR,female
132,HG00319,FIN,EUR,female
133,HG00320,FIN,EUR,female
134,HG00321,FIN,EUR,male
135,HG00323,FIN,EUR,female
136,HG00324,FIN,EUR,female
137,HG00325,FIN,EUR,male
138,HG00326,FIN,EUR,female
139,HG00327,FIN,EUR,female
140,HG00328,FIN,EUR,female
141,HG00329,FIN,EUR,male
142,HG00330,FIN,EUR,female
143,HG00331,FIN,EUR,female
144,HG00332,FIN,EUR,female
145,HG00334,FIN,EUR,female
146,HG00335,FIN,EUR,male
147,HG00336,FIN,EUR,male
148,HG00337,FIN,EUR,female
149,HG00338,FIN,EUR,male
150,HG00339,FIN,EUR,female
151,HG00341,FIN,EUR,male
152,HG00342,FIN,EUR,male
153,HG00343,FIN,EUR,female
154,HG00344,FIN,EUR,female
155,HG00345,FIN,EUR,male
156,HG00346,FIN,EUR,female
157,HG00349,FIN,EUR,female
158,HG00350,FIN,EUR,female
159,HG00351,FIN,EUR,male
160,HG00353,FIN,EUR,female
161,HG00355,FIN,EUR,female
162,HG00356,FIN,EUR,female
163,HG00357,FIN,EUR,female
164,HG00358,FIN,EUR,male
165,HG00360,FIN,EUR,male
166,HG00361,FIN,EUR,female
167,HG00362,FIN,EUR,female
168,HG00364,FIN,EUR,female
169,HG00365,FIN,EUR,female
170,HG00366,FIN,EUR,male
171,HG00367,FIN,EUR,female
172,HG00368,FIN,EUR,female
173,HG00369,FIN,EUR,male
174,HG00371,FIN,EUR,male
175,HG00372,FIN,EUR,male
176,HG00373,FIN,EUR,female
177,HG00375,FIN,EUR,male
178,HG00376,FIN,EUR,female
179,HG00378,FIN,EUR,female
180,HG00379,FIN,EUR,female
181,HG00380,FIN,EUR,female
182,HG00381,FIN,EUR,female
183,HG00382,FIN,EUR,male
184,HG00383,FIN,EUR,female
185,HG00384,FIN,EUR,female
433,HG01334,GBR,EUR,male
502,HG01500,IBS,EUR,male
503,HG01501,IBS,EUR,female
504,HG01503,IBS,EUR,male
505,HG01504,IBS,EUR,female
506,HG01506,IBS,EUR,male
507,HG01507,IBS,EUR,female
508,HG01509,IBS,EUR,male
509,HG01510,IBS,EUR,female
510,HG01512,IBS,EUR,male
511,HG01513,IBS,EUR,female
512,HG01515,IBS,EUR,male
513,HG01516,IBS,EUR,female
514,HG01518,IBS,EUR,male
515,HG01519,IBS,EUR,female
516,HG01521,IBS,EUR,male
517,HG01522,IBS,EUR,female
518,HG01524,IBS,EUR,male
519,HG01525,IBS,EUR,female
520,HG01527,IBS,EUR,male
521,HG01528,IBS,EUR,female
522,HG01530,IBS,EUR,male
523,HG01531,IBS,EUR,female
524,HG01536,IBS,EUR,male
525,HG01537,IBS,EUR,female
545,HG01602,IBS,EUR,female
546,HG01603,IBS,EUR,male
547,HG01605,IBS,EUR,female
548,HG01606,IBS,EUR,male
549,HG01607,IBS,EUR,female
550,HG01608,IBS,EUR,male
551,HG01610,IBS,EUR,male
552,HG01612,IBS,EUR,female
553,HG01613,IBS,EUR,female
554,HG01615,IBS,EUR,male
555,HG01617,IBS,EUR,male
556,HG01618,IBS,EUR,female
557,HG01619,IBS,EUR,male
558,HG01620,IBS,EUR,female
559,HG01623,IBS,EUR,female
560,HG01624,IBS,EUR,male
561,HG01625,IBS,EUR,male
562,HG01626,IBS,EUR,female
563,HG01628,IBS,EUR,female
564,HG01630,IBS,EUR,male
565,HG01631,IBS,EUR,male
566,HG01632,IBS,EUR,female
567,HG01668,IBS,EUR,female
568,HG01669,IBS,EUR,male
569,HG01670,IBS,EUR,female
570,HG01672,IBS,EUR,male
571,HG01673,IBS,EUR,female
572,HG01675,IBS,EUR,male
573,HG01676,IBS,EUR,female
574,HG01678,IBS,EUR,male
575,HG01679,IBS,EUR,female
576,HG01680,IBS,EUR,male
577,HG01682,IBS,EUR,male
578,HG01684,IBS,EUR,female
579,HG01685,IBS,EUR,female
580,HG01686,IBS,EUR,male
581,HG01694,IBS,EUR,male
582,HG01695,IBS,EUR,female
583,HG01697,IBS,EUR,female
584,HG01699,IBS,EUR,male
585,HG01700,IBS,EUR,male
586,HG01702,IBS,EUR,female
587,HG01704,IBS,EUR,female
588,HG01705,IBS,EUR,male
589,HG01707,IBS,EUR,female
590,HG01708,IBS,EUR,male
591,HG01709,IBS,EUR,male
592,HG01710,IBS,EUR,female
593,HG01746,IBS,EUR,female
594,HG01747,IBS,EUR,male
595,HG01756,IBS,EUR,male
596,HG01757,IBS,EUR,female
597,HG01761,IBS,EUR,male
598,HG01762,IBS,EUR,female
599,HG01765,IBS,EUR,male
600,HG01766,IBS,EUR,female
601,HG01767,IBS,EUR,male
602,HG01768,IBS,EUR,female
603,HG01770,IBS,EUR,female
604,HG01771,IBS,EUR,male
605,HG01773,IBS,EUR,female
606,HG01775,IBS,EUR,male
607,HG01776,IBS,EUR,female
608,HG01777,IBS,EUR,male
609,HG01779,IBS,EUR,female
610,HG01781,IBS,EUR,male
611,HG01783,IBS,EUR,male
612,HG01784,IBS,EUR,female
613,HG01785,IBS,EUR,male
614,HG01786,IBS,EUR,female
615,HG01789,GBR,EUR,male
616,HG01790,GBR,EUR,female
617,HG01791,GBR,EUR,male
838,HG02215,GBR,EUR,female
839,HG02219,IBS,EUR,male
840,HG02220,IBS,EUR,female
841,HG02221,IBS,EUR,male
842,HG02223,IBS,EUR,female
843,HG02224,IBS,EUR,male
844,HG02230,IBS,EUR,female
845,HG02231,IBS,EUR,male
846,HG02232,IBS,EUR,female
847,HG02233,IBS,EUR,male
848,HG02235,IBS,EUR,female
849,HG02236,IBS,EUR,male
850,HG02238,IBS,EUR,male
851,HG02239,IBS,EUR,female
1657,NA06984,CEU,EUR,male
1658,NA06985,CEU,EUR,female
1659,NA06986,CEU,EUR,male
1660,NA06989,CEU,EUR,female
1661,NA06994,CEU,EUR,male
1662,NA07000,CEU,EUR,female
1663,NA07037,CEU,EUR,female
1664,NA07048,CEU,EUR,male
1665,NA07051,CEU,EUR,male
1666,NA07056,CEU,EUR,female
1667,NA07347,CEU,EUR,male
1668,NA07357,CEU,EUR,male
1669,NA10847,CEU,EUR,female
1670,NA10851,CEU,EUR,male
1671,NA11829,CEU,EUR,male
1672,NA11830,CEU,EUR,female
1673,NA11831,CEU,EUR,male
1674,NA11832,CEU,EUR,female
1675,NA11840,CEU,EUR,female
1676,NA11843,CEU,EUR,male
1677,NA11881,CEU,EUR,male
1678,NA11892,CEU,EUR,female
1679,NA11893,CEU,EUR,male
1680,NA11894,CEU,EUR,female
1681,NA11918,CEU,EUR,female
1682,NA11919,CEU,EUR,male
1683,NA11920,CEU,EUR,female
1684,NA11930,CEU,EUR,male
1685,NA11931,CEU,EUR,female
1686,NA11932,CEU,EUR,male
1687,NA11933,CEU,EUR,female
1688,NA11992,CEU,EUR,male
1689,NA11994,CEU,EUR,male
1690,NA11995,CEU,EUR,female
1691,NA12003,CEU,EUR,male
1692,NA12004,CEU,EUR,female
1693,NA12005,CEU,EUR,male
1694,NA12006,CEU,EUR,female
1695,NA12043,CEU,EUR,male
1696,NA12044,CEU,EUR,female
1697,NA12045,CEU,EUR,male
1698,NA12046,CEU,EUR,female
1699,NA12058,CEU,EUR,female
1700,NA12144,CEU,EUR,male
1701,NA12154,CEU,EUR,male
1702,NA12155,CEU,EUR,male
1703,NA12156,CEU,EUR,female
1704,NA12234,CEU,EUR,female
1705,NA12249,CEU,EUR,female
1706,NA12272,CEU,EUR,male
1707,NA12273,CEU,EUR,female
1708,NA12275,CEU,EUR,female
1709,NA12282,CEU,EUR,male
1710,NA12283,CEU,EUR,female
1711,NA12286,CEU,EUR,male
1712,NA12287,CEU,EUR,female
1713,NA12340,CEU,EUR,male
1714,NA12341,CEU,EUR,female
1715,NA12342,CEU,EUR,male
1716,NA12347,CEU,EUR,male
1717,NA12348,CEU,EUR,female
1718,NA12383,CEU,EUR,female
1719,NA12399,CEU,EUR,male
1720,NA12400,CEU,EUR,female
1721,NA12413,CEU,EUR,male
1722,NA12414,CEU,EUR,female
1723,NA12489,CEU,EUR,female
1724,NA12546,CEU,EUR,male
1725,NA12716,CEU,EUR,male
1726,NA12717,CEU,EUR,female
1727,NA12718,CEU,EUR,female
1728,NA12748,CEU,EUR,male
1729,NA12749,CEU,EUR,female
1730,NA12750,CEU,EUR,male
1731,NA12751,CEU,EUR,female
1732,NA12760,CEU,EUR,male
1733,NA12761,CEU,EUR,female
1734,NA12762,CEU,EUR,male
1735,NA12763,CEU,EUR,female
1736,NA12775,CEU,EUR,male
1737,NA12776,CEU,EUR,female
1738,NA12777,CEU,EUR,male
1739,NA12778,CEU,EUR,female
1740,NA12812,CEU,EUR,male
1741,NA12813,CEU,EUR,female
1742,NA12814,CEU,EUR,male
1743,NA12815,CEU,EUR,female
1744,NA12827,CEU,EUR,male
1745,NA12828,CEU,EUR,female
1746,NA12829,CEU,EUR,male
1747,NA12830,CEU,EUR,female
1748,NA12842,CEU,EUR,male
1749,NA12843,CEU,EUR,female
1750,NA12872,CEU,EUR,male
1751,NA12873,CEU,EUR,female
1752,NA12874,CEU,EUR,male
1753,NA12878,CEU,EUR,female
1754,NA12889,CEU,EUR,male
1755,NA12890,CEU,EUR,female
2295,NA20502,TSI,EUR,female
2296,NA20503,TSI,EUR,female
2297,NA20504,TSI,EUR,female
2298,NA20505,TSI,EUR,female
2299,NA20506,TSI,EUR,female
2300,NA20507,TSI,EUR,female
2301,NA20508,TSI,EUR,female
2302,NA20509,TSI,EUR,male
2303,NA20510,TSI,EUR,male
2304,NA20511,TSI,EUR,male
2305,NA20512,TSI,EUR,male
2306,NA20513,TSI,EUR,male
2307,NA20514,TSI,EUR,female
2308,NA20515,TSI,EUR,male
2309,NA20516,TSI,EUR,male
2310,NA20517,TSI,EUR,female
2311,NA20518,TSI,EUR,male
2312,NA20519,TSI,EUR,male
2313,NA20520,TSI,EUR,male
2314,NA20521,TSI,EUR,male
2315,NA20522,TSI,EUR,female
2316,NA20524,TSI,EUR,male
2317,NA20525,TSI,EUR,male
2318,NA20527,TSI,EUR,male
2319,NA20528,TSI,EUR,male
2320,NA20529,TSI,EUR,female
2321,NA20530,TSI,EUR,female
2322,NA20531,TSI,EUR,female
2323,NA20532,TSI,EUR,male
2324,NA20533,TSI,EUR,female
2325,NA20534,TSI,EUR,male
2326,NA20535,TSI,EUR,female
2327,NA20536,TSI,EUR,male
2328,NA20538,TSI,EUR,male
2329,NA20539,TSI,EUR,male
2330,NA20540,TSI,EUR,female
2331,NA20541,TSI,EUR,female
2332,NA20542,TSI,EUR,female
2333,NA20543,TSI,EUR,male
2334,NA20544,TSI,EUR,male
2335,NA20581,TSI,EUR,male
2336,NA20582,TSI,EUR,female
2337,NA20585,TSI,EUR,female
2338,NA20586,TSI,EUR,male
2339,NA20587,TSI,EUR,female
2340,NA20588,TSI,EUR,male
2341,NA20589,TSI,EUR,female
2342,NA20752,TSI,EUR,male
2343,NA20753,TSI,EUR,female
2344,NA20754,TSI,EUR,male
2345,NA20755,TSI,EUR,male
2346,NA20756,TSI,EUR,female
2347,NA20757,TSI,EUR,female
2348,NA20758,TSI,EUR,male
2349,NA20759,TSI,EUR,male
2350,NA20760,TSI,EUR,female
2351,NA20761,TSI,EUR,female
2352,NA20762,TSI,EUR,male
2353,NA20763,TSI,EUR,male
2354,NA20764,TSI,EUR,female
2355,NA20765,TSI,EUR,male
2356,NA20766,TSI,EUR,female
2357,NA20767,TSI,EUR,male
2358,NA20768,TSI,EUR,female
2359,NA20769,TSI,EUR,female
2360,NA20770,TSI,EUR,male
2361,NA20771,TSI,EUR,female
2362,NA20772,TSI,EUR,female
2363,NA20773,TSI,EUR,female
2364,NA20774,TSI,EUR,female
2365,NA20775,TSI,EUR,female
2366,NA20778,TSI,EUR,male
2367,NA20783,TSI,EUR,male
2368,NA20785,TSI,EUR,male
2369,NA20786,TSI,EUR,female
2370,NA20787,TSI,EUR,male
2371,NA20790,TSI,EUR,female
2372,NA20792,TSI,EUR,male
2373,NA20795,TSI,EUR,female
2374,NA20796,TSI,EUR,male
2375,NA20797,TSI,EUR,female
2376,NA20798,TSI,EUR,male
2377,NA20799,TSI,EUR,female
2378,NA20800,TSI,EUR,female
2379,NA20801,TSI,EUR,male
2380,NA20802,TSI,EUR,female
2381,NA20803,TSI,EUR,male
2382,NA20804,TSI,EUR,female
2383,NA20805,TSI,EUR,male
2384,NA20806,TSI,EUR,male
2385,NA20807,TSI,EUR,female
2386,NA20808,TSI,EUR,female
2387,NA20809,TSI,EUR,male
2388,NA20810,TSI,EUR,male
2389,NA20811,TSI,EUR,male
2390,NA20812,TSI,EUR,male
2391,NA20813,TSI,EUR,female
2392,NA20814,TSI,EUR,male
2393,NA20815,TSI,EUR,male
2394,NA20818,TSI,EUR,female
2395,NA20819,TSI,EUR,female
2396,NA20821,TSI,EUR,female
2397,NA20822,TSI,EUR,female
2398,NA20826,TSI,EUR,female
2399,NA20827,TSI,EUR,male
2400,NA20828,TSI,EUR,female
2401,NA20832,TSI,EUR,female
ï..sample,pop,super,X_pop.......gender,
535,HG01583,PJL,SAS,male
536,HG01586,PJL,SAS,male
537,HG01589,PJL,SAS,male
538,HG01593,PJL,SAS,female
959,HG02490,PJL,SAS,male
960,HG02491,PJL,SAS,female
961,HG02493,PJL,SAS,male
962,HG02494,PJL,SAS,female
1001,HG02597,PJL,SAS,male
1002,HG02600,PJL,SAS,male
1003,HG02601,PJL,SAS,female
1004,HG02603,PJL,SAS,male
1005,HG02604,PJL,SAS,female
1022,HG02648,PJL,SAS,male
1023,HG02649,PJL,SAS,female
1024,HG02651,PJL,SAS,male
1025,HG02652,PJL,SAS,female
1026,HG02654,PJL,SAS,male
1027,HG02655,PJL,SAS,female
1028,HG02657,PJL,SAS,male
1029,HG02658,PJL,SAS,female
1030,HG02660,PJL,SAS,male
1031,HG02661,PJL,SAS,female
1038,HG02681,PJL,SAS,male
1039,HG02682,PJL,SAS,female
1040,HG02684,PJL,SAS,male
1041,HG02685,PJL,SAS,female
1042,HG02687,PJL,SAS,male
1043,HG02688,PJL,SAS,female
1044,HG02690,PJL,SAS,male
1045,HG02691,PJL,SAS,female
1046,HG02694,PJL,SAS,female
1047,HG02696,PJL,SAS,male
1048,HG02697,PJL,SAS,female
1049,HG02699,PJL,SAS,male
1050,HG02700,PJL,SAS,female
1057,HG02724,PJL,SAS,male
1058,HG02725,PJL,SAS,female
1059,HG02727,PJL,SAS,male
1060,HG02728,PJL,SAS,female
1061,HG02731,PJL,SAS,female
1062,HG02733,PJL,SAS,male
1063,HG02734,PJL,SAS,female
1064,HG02736,PJL,SAS,male
1065,HG02737,PJL,SAS,female
1075,HG02774,PJL,SAS,male
1076,HG02775,PJL,SAS,female
1077,HG02778,PJL,SAS,female
1078,HG02780,PJL,SAS,male
1079,HG02783,PJL,SAS,male
1080,HG02784,PJL,SAS,female
1081,HG02786,PJL,SAS,male
1082,HG02787,PJL,SAS,female
1083,HG02789,PJL,SAS,male
1084,HG02790,PJL,SAS,female
1085,HG02792,PJL,SAS,male
1086,HG02793,PJL,SAS,female
1145,HG03006,BEB,SAS,male
1146,HG03007,BEB,SAS,female
1147,HG03009,BEB,SAS,male
1148,HG03012,BEB,SAS,male
1149,HG03015,PJL,SAS,male
1150,HG03016,PJL,SAS,female
1151,HG03018,PJL,SAS,male
1152,HG03019,PJL,SAS,female
1153,HG03021,PJL,SAS,male
1154,HG03022,PJL,SAS,female
1239,HG03228,PJL,SAS,male
1240,HG03229,PJL,SAS,female
1241,HG03234,PJL,SAS,male
1242,HG03235,PJL,SAS,female
1243,HG03237,PJL,SAS,male
1244,HG03238,PJL,SAS,female
1319,HG03488,PJL,SAS,female
1320,HG03490,PJL,SAS,male
1321,HG03491,PJL,SAS,female
1347,HG03585,BEB,SAS,male
1348,HG03589,BEB,SAS,female
1349,HG03593,BEB,SAS,male
1350,HG03594,BEB,SAS,male
1351,HG03595,BEB,SAS,female
1352,HG03598,BEB,SAS,female
1353,HG03600,BEB,SAS,male
1354,HG03603,BEB,SAS,male
1355,HG03604,BEB,SAS,female
1356,HG03607,BEB,SAS,female
1357,HG03611,BEB,SAS,female
1358,HG03615,BEB,SAS,male
1359,HG03616,BEB,SAS,female
1360,HG03619,PJL,SAS,female
1361,HG03624,PJL,SAS,male
1362,HG03625,PJL,SAS,female
1363,HG03629,PJL,SAS,male
1364,HG03631,PJL,SAS,female
1365,HG03634,PJL,SAS,female
1366,HG03636,PJL,SAS,male
1367,HG03640,PJL,SAS,female
1368,HG03642,STU,SAS,female
1369,HG03643,STU,SAS,female
1370,HG03644,STU,SAS,male
1371,HG03645,STU,SAS,female
1372,HG03646,STU,SAS,male
1373,HG03649,PJL,SAS,male
1374,HG03652,PJL,SAS,male
1375,HG03653,PJL,SAS,female
1376,HG03660,PJL,SAS,male
1377,HG03663,PJL,SAS,male
1378,HG03667,PJL,SAS,male
1379,HG03668,PJL,SAS,female
1380,HG03672,STU,SAS,male
1381,HG03673,STU,SAS,female
1382,HG03679,STU,SAS,male
1383,HG03680,STU,SAS,male
1384,HG03681,STU,SAS,male
1385,HG03684,STU,SAS,female
1386,HG03685,STU,SAS,male
1387,HG03686,STU,SAS,male
1388,HG03687,STU,SAS,male
1389,HG03689,STU,SAS,female
1390,HG03690,STU,SAS,female
1391,HG03691,STU,SAS,male
1392,HG03692,STU,SAS,female
1393,HG03693,STU,SAS,male
1394,HG03694,STU,SAS,male
1395,HG03695,STU,SAS,male
1396,HG03696,STU,SAS,male
1397,HG03697,STU,SAS,male
1398,HG03698,STU,SAS,female
1399,HG03702,PJL,SAS,male
1400,HG03703,PJL,SAS,female
1401,HG03705,PJL,SAS,male
1402,HG03706,PJL,SAS,female
1403,HG03708,PJL,SAS,male
1404,HG03709,PJL,SAS,female
1405,HG03711,STU,SAS,male
1406,HG03713,ITU,SAS,male
1407,HG03714,ITU,SAS,female
1408,HG03716,ITU,SAS,male
1409,HG03717,ITU,SAS,female
1410,HG03718,ITU,SAS,male
1411,HG03720,ITU,SAS,male
1412,HG03722,ITU,SAS,female
1413,HG03727,ITU,SAS,male
1414,HG03729,ITU,SAS,male
1415,HG03730,ITU,SAS,female
1416,HG03731,ITU,SAS,female
1417,HG03733,STU,SAS,female
1418,HG03736,STU,SAS,female
1419,HG03738,STU,SAS,male
1420,HG03740,STU,SAS,male
1421,HG03741,STU,SAS,female
1422,HG03742,ITU,SAS,male
1423,HG03743,STU,SAS,male
1424,HG03744,STU,SAS,male
1425,HG03745,STU,SAS,male
1426,HG03746,STU,SAS,male
1427,HG03750,STU,SAS,male
1428,HG03752,STU,SAS,female
1429,HG03753,STU,SAS,male
1430,HG03754,STU,SAS,female
1431,HG03755,STU,SAS,male
1432,HG03756,STU,SAS,female
1433,HG03757,STU,SAS,female
1434,HG03760,STU,SAS,female
1435,HG03762,PJL,SAS,female
1436,HG03765,PJL,SAS,female
1437,HG03767,PJL,SAS,male
1438,HG03770,ITU,SAS,female
1439,HG03771,ITU,SAS,male
1440,HG03772,ITU,SAS,female
1441,HG03773,ITU,SAS,male
1442,HG03774,ITU,SAS,female
1443,HG03775,ITU,SAS,male
1444,HG03777,ITU,SAS,male
1445,HG03778,ITU,SAS,male
